Status,Open Time,Close Time,Market,Side,Entry Price,Exit Price,Position Size ($),Position Size (Qty),Gross P&L,Realized P&L,Total Fees,Close Reason,Cumulative Wins,Cumulative Losses,Cumulative P&L,Cumulative Fees,Prev_Exit_Price,Gap_Size_Abs,Gap_Size_Pct,ATR,Gap_Size_ATR,MFE_pct,MAE_pct,MFE_usd,MAE_usd
WIN,2025-11-28 06:30:01+00:00,2025-11-28 08:30:01+00:00,BTCUSDT,SHORT,91267.1,91105.7,1000.0,0.010957,1.17,0.57,0.6,REVERSE,5,6,-6.2,6.6,91267.1,0.0,0.0,182.6571428571437,,0.48538849158130365,0.2879460397010405,4.853884915813036,2.879460397010405
WIN,2025-11-28 08:30:01+00:00,2025-11-28 11:30:00+00:00,BTCUSDT,LONG,91105.7,91230.9,1000.0,0.010976,0.77,0.17,0.6,REVERSE,6,6,-6.03,7.2,91105.7,0.0,0.0,214.98571428571242,,0.981607078371609,0.1520212236995051,9.81607078371609,1.5202122369950508
LOSS,2025-11-28 11:30:01+00:00,2025-11-28 12:15:01+00:00,BTCUSDT,SHORT,91230.9,91467.8,1000.0,0.010961,-3.2,-3.8,0.6,REVERSE,6,7,-9.83,7.8,91230.9,0.0,0.0,275.65000000000043,,0.07596110528339452,0.3772844507727225,0.7596110528339451,3.772844507727225
WIN,2025-11-28 12:15:01+00:00,2025-11-28 15:00:00+00:00,BTCUSDT,LONG,91467.8,92202.1,1000.0,0.010933,7.43,6.83,0.6,REVERSE,7,7,-3.0,8.4,91467.8,0.0,0.0,244.1428571428582,,1.7625874898051521,0.16770929223181133,17.625874898051524,1.6770929223181132
LOSS,2025-11-28 15:00:01+00:00,2025-11-28 15:45:00+00:00,BTCUSDT,SHORT,92202.1,92479.6,1000.0,0.010846,-3.61,-4.21,0.6,REVERSE,7,8,-7.21,9.0,92202.1,0.0,0.0,418.3285714285729,,0.3066090685570194,0.5872968186190987,3.0660906855701944,5.872968186190986
LOSS,2025-11-28 15:45:01+00:00,2025-11-28 16:15:01+00:00,BTCUSDT,LONG,92479.6,91839.4,1000.0,0.010813,-7.52,-8.12,0.6,REVERSE,7,9,-15.33,9.6,92479.6,0.0,0.0,448.22142857143,,-0.06790686810929426,0.7564911612939565,-0.6790686810929427,7.564911612939564
WIN,2025-11-28 16:15:01+00:00,2025-11-28 18:45:01+00:00,BTCUSDT,SHORT,91839.4,90773.2,1000.0,0.010889,11.01,10.41,0.6,REVERSE,8,9,-4.92,10.2,91839.4,0.0,0.0,527.1571428571436,,1.834071215622047,0.1496089913479495,18.34071215622047,1.4960899134794952
LOSS,2025-11-28 18:45:01+00:00,2025-11-28 22:15:01+00:00,BTCUSDT,LONG,90773.2,90768.1,1000.0,0.011016,-0.66,-1.26,0.6,REVERSE,8,10,-6.18,10.8,90773.2,0.0,0.0,467.10000000000065,,0.4800976499671742,0.14222259433400086,4.800976499671742,1.4222259433400086
LOSS,2025-11-28 22:15:01+00:00,2025-11-28 23:00:01+00:00,BTCUSDT,SHORT,90768.1,91073.5,1000.0,0.011017,-3.96,-4.56,0.6,REVERSE,8,11,-10.74,11.4,90768.1,0.0,0.0,211.81428571428427,,0.04561073769309783,0.3732588872081583,0.45610737693097825,3.732588872081583
LOSS,2025-11-28 23:00:01+00:00,2025-11-29 00:00:01+00:00,BTCUSDT,LONG,91073.5,90847.8,1000.0,0.01098,-3.08,-3.68,0.6,REVERSE,8,12,-14.42,12.0,91073.5,0.0,0.0,200.81428571428427,,0.07850801824899668,0.2717585247080655,0.7850801824899669,2.7175852470806547
LOSS,2025-11-29 00:00:01+00:00,2025-11-29 01:30:01+00:00,BTCUSDT,SHORT,90847.8,90920.7,1000.0,0.011007,-1.4,-2.0,0.6,REVERSE,8,13,-16.42,12.6,90847.8,0.0,0.0,175.89285714285612,,0.1400143977069308,0.2538311329498252,1.400143977069308,2.5383113294982516
LOSS,2025-11-29 01:30:01+00:00,2025-11-29 02:00:01+00:00,BTCUSDT,LONG,90920.7,90839.2,1000.0,0.010999,-1.5,-2.1,0.6,REVERSE,8,14,-18.52,13.2,90920.7,0.0,0.0,159.5785714285708,,-0.014958089851916306,0.1876360388778257,-0.14958089851916306,1.876360388778257
LOSS,2025-11-29 02:00:01+00:00,2025-11-29 05:00:00+00:00,BTCUSDT,SHORT,90839.2,90859.6,1000.0,0.011008,-0.82,-1.42,0.6,REVERSE,8,15,-19.94,13.8,90839.2,0.0,0.0,145.9857142857145,,0.3734070753595332,0.05416163946842012,3.7340707535953324,0.5416163946842012
LOSS,2025-11-29 05:00:01+00:00,2025-11-29 06:15:00+00:00,BTCUSDT,LONG,90859.6,90784.1,1000.0,0.011006,-1.43,-2.03,0.6,REVERSE,8,16,-21.97,14.4,90859.6,0.0,0.0,130.96428571428572,,0.0277350989878858,0.20240018666162818,0.27735098987885803,2.024001866616282
WIN,2025-11-29 06:15:01+00:00,2025-11-29 08:30:00+00:00,BTCUSDT,SHORT,90784.1,90574.3,1000.0,0.011015,1.71,1.11,0.6,REVERSE,9,16,-20.86,15.0,90784.1,0.0,0.0,144.39285714285714,,0.5715758596494416,-0.004736512230669148,5.715758596494416,-0.04736512230669148
LOSS,2025-11-29 08:30:01+00:00,2025-11-29 09:45:00+00:00,BTCUSDT,LONG,90574.3,90540.5,1000.0,0.011041,-0.97,-1.57,0.6,REVERSE,9,17,-22.43,15.6,90574.3,0.0,0.0,182.0857142857151,,0.10676317675101776,0.13116303410570426,1.0676317675101776,1.3116303410570427
LOSS,2025-11-29 09:45:01+00:00,2025-11-29 12:15:00+00:00,BTCUSDT,SHORT,90540.5,90608.5,1000.0,0.011045,-1.35,-1.95,0.6,REVERSE,9,18,-24.38,16.2,90540.5,0.0,0.0,146.82857142857185,,0.22674935526090853,0.2527045907632528,2.2674935526090856,2.527045907632528
LOSS,2025-11-29 12:15:01+00:00,2025-11-29 12:45:01+00:00,BTCUSDT,LONG,90608.5,90582.5,1000.0,0.011036,-0.89,-1.49,0.6,REVERSE,9,19,-25.87,16.8,90608.5,0.0,0.0,128.414285714288,,0.018982766517486867,0.1370732326437333,0.18982766517486868,1.370732326437333
LOSS,2025-11-29 12:45:01+00:00,2025-11-29 13:45:01+00:00,BTCUSDT,SHORT,90582.5,90697.7,1000.0,0.01104,-1.87,-2.47,0.6,REVERSE,9,20,-28.34,17.4,90582.5,0.0,0.0,123.76428571428758,,0.04272348411668599,0.2067728313967962,0.42723484116685995,2.067728313967962
LOSS,2025-11-29 13:45:08+00:00,2025-11-29 14:45:02+00:00,BTCUSDT,LONG,90697.7,90626.6,1000.0,0.011026,-1.38,-1.98,0.6,REVERSE,9,21,-30.32,18.0,90697.7,0.0,0.0,122.15000000000146,,0.07806151644419088,0.11874612035365517,0.7806151644419088,1.1874612035365515
LOSS,2025-11-29 14:45:09+00:00,2025-11-29 15:30:01+00:00,BTCUSDT,SHORT,90626.6,90835.1,1000.0,0.011034,-2.9,-3.5,0.6,REVERSE,9,22,-33.82,18.6,90626.6,0.0,0.0,116.00714285714328,,0.059364469151444395,0.48716381283199406,0.593644691514444,4.871638128319941
LOSS,2025-11-29 15:30:06+00:00,2025-11-29 17:30:01+00:00,BTCUSDT,LONG,90835.1,90670.1,1000.0,0.011009,-2.42,-3.02,0.6,REVERSE,9,23,-36.84,19.2,90835.1,0.0,0.0,129.8357142857151,,0.32465423608274135,0.325645042500094,3.246542360827413,3.2564504250009403
LOSS,2025-11-29 17:30:06+00:00,2025-11-29 19:00:01+00:00,BTCUSDT,SHORT,90670.1,90652.9,1000.0,0.011029,-0.41,-1.01,0.6,REVERSE,9,24,-37.85,19.8,90670.1,0.0,0.0,181.25000000000105,,0.6368141206417647,0.01742581071377263,6.368141206417647,0.1742581071377263
LOSS,2025-11-29 19:00:06+00:00,2025-11-29 20:00:01+00:00,BTCUSDT,LONG,90652.9,90602.9,1000.0,0.011031,-1.15,-1.75,0.6,REVERSE,9,25,-39.6,20.4,90652.9,0.0,0.0,243.8142857142853,,0.18421914798092506,0.12443065803740241,1.8421914798092505,1.244306580374024
LOSS,2025-11-29 20:00:06+00:00,2025-11-29 21:00:01+00:00,BTCUSDT,SHORT,90602.9,90921.7,1000.0,0.011037,-4.12,-4.72,0.6,REVERSE,9,26,-44.32,21.0,90602.9,0.0,0.0,242.38571428571387,,0.26478181161970993,0.44645370070935925,2.6478181161970995,4.464537007093592
LOSS,2025-11-29 21:00:08+00:00,2025-11-29 22:30:00+00:00,BTCUSDT,LONG,90921.7,90694.0,1000.0,0.010998,-3.1,-3.7,0.6,REVERSE,9,27,-48.02,21.6,90921.7,0.0,0.0,239.335714285712,,0.10811500444888615,0.28123099326123147,1.0811500444888615,2.812309932612315
LOSS,2025-11-29 22:30:05+00:00,2025-11-29 23:45:01+00:00,BTCUSDT,SHORT,90694.0,90812.8,1000.0,0.011026,-1.91,-2.51,0.6,REVERSE,9,28,-50.53,22.2,90694.0,0.0,0.0,189.83571428571304,,0.04520695966657111,0.21225218867841314,0.45206959666571106,2.1225218867841313
LOSS,2025-11-29 23:45:05+00:00,2025-11-30 03:00:00+00:00,BTCUSDT,LONG,90812.8,90745.2,1000.0,0.011012,-1.34,-1.94,0.6,REVERSE,9,29,-52.47,22.8,90812.8,0.0,0.0,170.79285714285652,,0.22375700341801716,0.12421156488953419,2.2375700341801714,1.242115648895342
LOSS,2025-11-30 03:00:01+00:00,2025-11-30 04:00:01+00:00,BTCUSDT,SHORT,90745.2,90873.0,1000.0,0.01102,-2.01,-2.61,0.6,REVERSE,9,30,-55.08,23.4,90745.2,0.0,0.0,125.39285714285714,,0.36497798230649897,0.1497599873051233,3.6497798230649896,1.4975998730512328
LOSS,2025-11-30 04:00:01+00:00,2025-11-30 05:00:00+00:00,BTCUSDT,LONG,90873.0,90808.2,1000.0,0.011004,-1.31,-1.91,0.6,REVERSE,9,31,-56.99,24.0,90873.0,0.0,0.0,140.80000000000084,,0.06910743565195702,0.14514762360656538,0.6910743565195703,1.4514762360656541
LOSS,2025-11-30 05:00:01+00:00,2025-11-30 06:45:01+00:00,BTCUSDT,SHORT,90808.2,90883.7,1000.0,0.011012,-1.43,-2.03,0.6,REVERSE,9,32,-59.02,24.6,90808.2,0.0,0.0,132.62857142857268,,0.200422428811495,0.0992201144830597,2.00422428811495,0.9922011448305971
WIN,2025-11-30 06:45:01+00:00,2025-11-30 11:00:00+00:00,BTCUSDT,LONG,90883.7,91185.4,1000.0,0.011003,2.72,2.12,0.6,REVERSE,10,32,-56.9,25.2,90883.7,0.0,0.0,113.20714285714244,,0.7661439840147386,0.07460083601350177,7.661439840147385,0.7460083601350177
LOSS,2025-11-30 11:00:01+00:00,2025-11-30 12:30:01+00:00,BTCUSDT,SHORT,91185.4,91218.5,1000.0,0.010967,-0.96,-1.56,0.6,REVERSE,10,33,-58.46,25.8,91185.4,0.0,0.0,226.9785714285681,,0.2841463655365785,0.17776968681390423,2.8414636553657853,1.7776968681390424
LOSS,2025-11-30 12:30:01+00:00,2025-11-30 14:45:01+00:00,BTCUSDT,LONG,91218.5,91327.2,1000.0,0.010963,0.59,-0.01,0.6,REVERSE,10,34,-58.47,26.4,91218.5,0.0,0.0,188.81428571428322,,0.7848188689794221,0.058979264074724876,7.848188689794221,0.5897926407472488
LOSS,2025-11-30 14:45:01+00:00,2025-11-30 16:45:00+00:00,BTCUSDT,SHORT,91327.2,91668.7,1000.0,0.01095,-4.34,-4.94,0.6,REVERSE,10,35,-63.41,27.0,91327.2,0.0,0.0,221.0071428571412,,0.05387223083593616,0.45692849446824485,0.5387223083593616,4.569284944682448
LOSS,2025-11-30 16:45:01+00:00,2025-11-30 17:30:01+00:00,BTCUSDT,LONG,91668.7,91346.7,1000.0,0.010909,-4.11,-4.71,0.6,REVERSE,10,36,-68.12,27.6,91668.7,0.0,0.0,194.05714285714097,,0.16374182245412647,0.3875914025179837,1.6374182245412647,3.875914025179837
LOSS,2025-11-30 17:30:02+00:00,2025-11-30 19:15:02+00:00,BTCUSDT,SHORT,91346.7,91412.0,1000.0,0.010947,-1.31,-1.91,0.6,REVERSE,10,37,-70.03,28.2,91346.7,0.0,0.0,217.9428571428559,,0.2830972547448252,0.17384317112714845,2.8309725474482526,1.7384317112714844
LOSS,2025-11-30 19:15:02+00:00,2025-11-30 20:45:01+00:00,BTCUSDT,LONG,91412.0,91238.4,1000.0,0.010939,-2.5,-3.1,0.6,REVERSE,10,38,-73.13,28.8,91412.0,0.0,0.0,192.35714285714286,,0.19723887454601466,0.3045552006301079,1.9723887454601465,3.0455520063010786
